"cohort","full_name","owner","stars","pushed_at","url","query"
"ai_native","bosun-ai/swiftide","bosun-ai","674","2026-03-04T12:47:25Z","https://github.com/bosun-ai/swiftide","topic:llmops pushed:>=2025-09-01 stars:>=150 archived:false fork:false size:<200000"
"ai_native","langwatch/langwatch","langwatch","2846","2026-03-04T12:47:22Z","https://github.com/langwatch/langwatch","topic:llmops pushed:>=2025-09-01 stars:>=150 archived:false fork:false size:<200000"
"ai_native","langfuse/langfuse","langfuse","22613","2026-03-04T12:45:46Z","https://github.com/langfuse/langfuse","topic:llmops pushed:>=2025-09-01 stars:>=150 archived:false fork:false size:<200000"
"ai_native","AidanPark/openclaw-android","AidanPark","318","2026-03-04T12:43:23Z","https://github.com/AidanPark/openclaw-android","topic:ai-agent pushed:>=2025-09-01 stars:>=250 archived:false fork:false size:<200000"
"ai_native","PaperDebugger/paperdebugger","PaperDebugger","1377","2026-03-04T12:35:33Z","https://github.com/PaperDebugger/paperdebugger","topic:ai-agent pushed:>=2025-09-01 stars:>=250 archived:false fork:false size:<200000"
"ai_native","vm0-ai/vm0","vm0-ai","1024","2026-03-04T12:34:50Z","https://github.com/vm0-ai/vm0","topic:ai-agent pushed:>=2025-09-01 stars:>=250 archived:false fork:false size:<200000"
"ai_native","giselles-ai/giselle","giselles-ai","491","2026-03-04T12:32:58Z","https://github.com/giselles-ai/giselle","topic:ai-agent pushed:>=2025-09-01 stars:>=250 archived:false fork:false size:<200000"
"ai_native","dynamiq-ai/dynamiq","dynamiq-ai","1032","2026-03-04T12:32:38Z","https://github.com/dynamiq-ai/dynamiq","topic:llmops pushed:>=2025-09-01 stars:>=150 archived:false fork:false size:<200000"
"ai_native","openops-cloud/openops","openops-cloud","1000","2026-03-04T12:30:43Z","https://github.com/openops-cloud/openops","topic:ai-agent pushed:>=2025-09-01 stars:>=250 archived:false fork:false size:<200000"
"ai_native","rootflo/wavefront","rootflo","199","2026-03-04T12:29:41Z","https://github.com/rootflo/wavefront","topic:model-context-protocol pushed:>=2025-09-01 stars:>=80 archived:false fork:false size:<200000"
"ai_native","mcp-use/mcp-use","mcp-use","9366","2026-03-04T12:24:32Z","https://github.com/mcp-use/mcp-use","topic:model-context-protocol pushed:>=2025-09-01 stars:>=80 archived:false fork:false size:<200000"
"ai_native","stacklok/toolhive","stacklok","1629","2026-03-04T12:17:08Z","https://github.com/stacklok/toolhive","topic:model-context-protocol pushed:>=2025-09-01 stars:>=80 archived:false fork:false size:<200000"
"ai_native","agentscope-ai/OpenJudge","agentscope-ai","430","2026-03-04T12:06:07Z","https://github.com/agentscope-ai/OpenJudge","topic:llmops pushed:>=2025-09-01 stars:>=150 archived:false fork:false size:<200000"
"ai_native","keboola/mcp-server","keboola","82","2026-03-04T12:05:37Z","https://github.com/keboola/mcp-server","topic:model-context-protocol pushed:>=2025-09-01 stars:>=80 archived:false fork:false size:<200000"
"ai_native","rhesis-ai/rhesis","rhesis-ai","287","2026-03-04T12:03:32Z","https://github.com/rhesis-ai/rhesis","topic:llmops pushed:>=2025-09-01 stars:>=150 archived:false fork:false size:<200000"
"ai_native","memodb-io/Acontext","memodb-io","3119","2026-03-04T12:02:54Z","https://github.com/memodb-io/Acontext","topic:ai-agent pushed:>=2025-09-01 stars:>=250 archived:false fork:false size:<200000"
"ai_native","crestalnetwork/intentkit","crestalnetwork","6488","2026-03-04T11:46:59Z","https://github.com/crestalnetwork/intentkit","topic:ai-agent pushed:>=2025-09-01 stars:>=250 archived:false fork:false size:<200000"
"ai_native","dbt-labs/dbt-mcp","dbt-labs","501","2026-03-04T11:37:42Z","https://github.com/dbt-labs/dbt-mcp","topic:model-context-protocol pushed:>=2025-09-01 stars:>=80 archived:false fork:false size:<200000"
"ai_native","Josh-XT/AGiXT","Josh-XT","3157","2026-03-04T11:29:04Z","https://github.com/Josh-XT/AGiXT","topic:llmops pushed:>=2025-09-01 stars:>=150 archived:false fork:false size:<200000"
"ai_native","covibes/zeroshot","covibes","1260","2026-03-04T11:24:38Z","https://github.com/covibes/zeroshot","topic:ai-agent pushed:>=2025-09-01 stars:>=250 archived:false fork:false size:<200000"
"ai_native","vakovalskii/ValeDesk","vakovalskii","301","2026-03-04T11:24:16Z","https://github.com/vakovalskii/ValeDesk","topic:ai-agent pushed:>=2025-09-01 stars:>=250 archived:false fork:false size:<200000"
"ai_native","cbcoutinho/nextcloud-mcp-server","cbcoutinho","139","2026-03-04T11:20:45Z","https://github.com/cbcoutinho/nextcloud-mcp-server","topic:model-context-protocol pushed:>=2025-09-01 stars:>=80 archived:false fork:false size:<200000"
"ai_native","debba/tabularis","debba","463","2026-03-04T11:17:33Z","https://github.com/debba/tabularis","topic:ai-agent pushed:>=2025-09-01 stars:>=250 archived:false fork:false size:<200000"
"ai_native","genomoncology/biomcp","genomoncology","442","2026-03-04T11:17:26Z","https://github.com/genomoncology/biomcp","topic:model-context-protocol pushed:>=2025-09-01 stars:>=80 archived:false fork:false size:<200000"
"ai_native","LianjiaTech/bella-openapi","LianjiaTech","207","2026-03-04T11:00:19Z","https://github.com/LianjiaTech/bella-openapi","topic:llmops pushed:>=2025-09-01 stars:>=150 archived:false fork:false size:<200000"
"ai_native","GoogleCloudPlatform/agent-starter-pack","GoogleCloudPlatform","5866","2026-03-04T10:59:39Z","https://github.com/GoogleCloudPlatform/agent-starter-pack","topic:llmops pushed:>=2025-09-01 stars:>=150 archived:false fork:false size:<200000"
"ai_native","PackmindHub/packmind","PackmindHub","225","2026-03-04T10:54:23Z","https://github.com/PackmindHub/packmind","topic:ai-coding-assistant pushed:>=2025-09-01 stars:>=100 archived:false fork:false size:<200000"
"ai_native","mindfold-ai/Trellis","mindfold-ai","3084","2026-03-04T10:53:31Z","https://github.com/mindfold-ai/Trellis","topic:ai-agent pushed:>=2025-09-01 stars:>=250 archived:false fork:false size:<200000"
"ai_native","OpenCoworkAI/open-cowork","OpenCoworkAI","544","2026-03-04T10:51:21Z","https://github.com/OpenCoworkAI/open-cowork","topic:ai-agent pushed:>=2025-09-01 stars:>=250 archived:false fork:false size:<200000"
"ai_native","Panniantong/Agent-Reach","Panniantong","4868","2026-03-04T10:40:32Z","https://github.com/Panniantong/Agent-Reach","topic:ai-agent pushed:>=2025-09-01 stars:>=250 archived:false fork:false size:<200000"
"ai_native","getsentry/XcodeBuildMCP","getsentry","4549","2026-03-04T10:32:23Z","https://github.com/getsentry/XcodeBuildMCP","topic:model-context-protocol pushed:>=2025-09-01 stars:>=80 archived:false fork:false size:<200000"
