"cohort","full_name","owner","stars","pushed_at","url","query"
"ai_native","yohey-w/multi-agent-shogun","yohey-w","1041","2026-03-11T23:28:38Z","https://github.com/yohey-w/multi-agent-shogun","""agent framework"" in:name,description,readme pushed:>=2025-01-01 stars:>=25 archived:false fork:false size:<200000"
"ai_native","mudler/LocalAI","mudler","43490","2026-03-11T23:28:19Z","https://github.com/mudler/LocalAI","""agent orchestration"" in:name,description,readme pushed:>=2025-01-01 stars:>=15 archived:false fork:false size:<200000"
"ai_native","livekit/agents-js","livekit","767","2026-03-11T23:27:49Z","https://github.com/livekit/agents-js","""agent framework"" in:name,description,readme pushed:>=2025-01-01 stars:>=25 archived:false fork:false size:<200000"
"ai_native","cbcoutinho/nextcloud-mcp-server","cbcoutinho","145","2026-03-11T23:27:49Z","https://github.com/cbcoutinho/nextcloud-mcp-server","topic:model-context-protocol pushed:>=2025-01-01 stars:>=10 archived:false fork:false size:<200000"
"ai_native","voratiq/voratiq","voratiq","59","2026-03-11T23:26:46Z","https://github.com/voratiq/voratiq","topic:multi-agent pushed:>=2025-01-01 stars:>=10 archived:false fork:false size:<200000"
"ai_native","backbay-labs/clawdstrike","backbay-labs","236","2026-03-11T23:26:09Z","https://github.com/backbay-labs/clawdstrike","topic:multi-agent pushed:>=2025-01-01 stars:>=10 archived:false fork:false size:<200000"
"ai_native","google/adk-python","google","18310","2026-03-11T23:25:04Z","https://github.com/google/adk-python","topic:multi-agent pushed:>=2025-01-01 stars:>=10 archived:false fork:false size:<200000"
"ai_native","moltis-org/moltis","moltis-org","2115","2026-03-11T23:25:01Z","https://github.com/moltis-org/moltis","topic:ai-agent pushed:>=2025-01-01 stars:>=25 archived:false fork:false size:<200000"
"ai_native","microsoft/agent-framework","microsoft","7827","2026-03-11T23:24:03Z","https://github.com/microsoft/agent-framework","topic:multi-agent pushed:>=2025-01-01 stars:>=10 archived:false fork:false size:<200000"
"ai_native","HumanSignal/Adala","HumanSignal","1375","2026-03-11T23:24:01Z","https://github.com/HumanSignal/Adala","""agent framework"" in:name,description,readme pushed:>=2025-01-01 stars:>=25 archived:false fork:false size:<200000"
"ai_native","google-gemini/gemini-cli","google-gemini","97302","2026-03-11T23:23:35Z","https://github.com/google-gemini/gemini-cli","topic:mcp-server pushed:>=2025-01-01 stars:>=10 archived:false fork:false size:<200000"
"ai_native","agents-squads/squads-cli","agents-squads","34","2026-03-11T23:23:22Z","https://github.com/agents-squads/squads-cli","topic:multi-agent pushed:>=2025-01-01 stars:>=10 archived:false fork:false size:<200000"
"ai_native","cognizant-ai-lab/neuro-san-studio","cognizant-ai-lab","363","2026-03-11T23:22:44Z","https://github.com/cognizant-ai-lab/neuro-san-studio","topic:multi-agent pushed:>=2025-01-01 stars:>=10 archived:false fork:false size:<200000"
"ai_native","xuiltul/animaworks","xuiltul","159","2026-03-11T23:22:42Z","https://github.com/xuiltul/animaworks","topic:multi-agent pushed:>=2025-01-01 stars:>=10 archived:false fork:false size:<200000"
"ai_native","langchain-ai/langgraphjs","langchain-ai","2627","2026-03-11T23:22:17Z","https://github.com/langchain-ai/langgraphjs","""agent orchestration"" in:name,description,readme pushed:>=2025-01-01 stars:>=15 archived:false fork:false size:<200000"
