"cohort","full_name","owner","stars","pushed_at","url","query"
"ai_native","yogthos/Matryoshka","yogthos","109","2026-03-03T21:19:35Z","https://github.com/yogthos/Matryoshka","topic:model-context-protocol pushed:>=2025-09-01 stars:>=80 archived:false fork:false size:<200000"
"ai_native","tensorzero/tensorzero","tensorzero","11033","2026-03-03T21:18:52Z","https://github.com/tensorzero/tensorzero","topic:llmops pushed:>=2025-09-01 stars:>=150 archived:false fork:false size:<200000"
"ai_native","provos/ironcurtain","provos","85","2026-03-03T21:16:28Z","https://github.com/provos/ironcurtain","topic:model-context-protocol pushed:>=2025-09-01 stars:>=80 archived:false fork:false size:<200000"
"ai_native","PackmindHub/packmind","PackmindHub","224","2026-03-03T21:15:51Z","https://github.com/PackmindHub/packmind","topic:ai-coding-assistant pushed:>=2025-09-01 stars:>=100 archived:false fork:false size:<200000"
"ai_native","genomoncology/biomcp","genomoncology","437","2026-03-03T21:13:04Z","https://github.com/genomoncology/biomcp","topic:model-context-protocol pushed:>=2025-09-01 stars:>=80 archived:false fork:false size:<200000"
"ai_native","langwatch/langwatch","langwatch","2845","2026-03-03T21:02:52Z","https://github.com/langwatch/langwatch","topic:llmops pushed:>=2025-09-01 stars:>=150 archived:false fork:false size:<200000"
"ai_native","moltis-org/moltis","moltis-org","1802","2026-03-03T21:02:43Z","https://github.com/moltis-org/moltis","topic:ai-agent pushed:>=2025-09-01 stars:>=250 archived:false fork:false size:<200000"
"ai_native","lmnr-ai/lmnr","lmnr-ai","2644","2026-03-03T20:53:32Z","https://github.com/lmnr-ai/lmnr","topic:llmops pushed:>=2025-09-01 stars:>=150 archived:false fork:false size:<200000"
"ai_native","openops-cloud/openops","openops-cloud","997","2026-03-03T20:45:35Z","https://github.com/openops-cloud/openops","topic:ai-agent pushed:>=2025-09-01 stars:>=250 archived:false fork:false size:<200000"
"ai_native","stacklok/toolhive","stacklok","1628","2026-03-03T20:40:15Z","https://github.com/stacklok/toolhive","topic:model-context-protocol pushed:>=2025-09-01 stars:>=80 archived:false fork:false size:<200000"
"ai_native","Hawksight-AI/semantica","Hawksight-AI","721","2026-03-03T20:32:48Z","https://github.com/Hawksight-AI/semantica","topic:llmops pushed:>=2025-09-01 stars:>=150 archived:false fork:false size:<200000"
"ai_native","tinyfish-io/agentql-mcp","tinyfish-io","149","2026-03-03T20:27:07Z","https://github.com/tinyfish-io/agentql-mcp","topic:model-context-protocol pushed:>=2025-09-01 stars:>=80 archived:false fork:false size:<200000"
"ai_native","firecrawl/firecrawl-mcp-server","firecrawl","5644","2026-03-03T20:22:48Z","https://github.com/firecrawl/firecrawl-mcp-server","topic:model-context-protocol pushed:>=2025-09-01 stars:>=80 archived:false fork:false size:<200000"
"ai_native","mcp-use/mcp-use","mcp-use","9358","2026-03-03T20:18:05Z","https://github.com/mcp-use/mcp-use","topic:model-context-protocol pushed:>=2025-09-01 stars:>=80 archived:false fork:false size:<200000"
"ai_native","apify/mcp-cli","apify","334","2026-03-03T20:17:52Z","https://github.com/apify/mcp-cli","topic:model-context-protocol pushed:>=2025-09-01 stars:>=80 archived:false fork:false size:<200000"
"ai_native","SynaLinks/synalinks","SynaLinks","418","2026-03-03T20:13:42Z","https://github.com/SynaLinks/synalinks","topic:llmops pushed:>=2025-09-01 stars:>=150 archived:false fork:false size:<200000"
"ai_native","augmnt/augments-mcp-server","augmnt","111","2026-03-03T20:12:33Z","https://github.com/augmnt/augments-mcp-server","topic:model-context-protocol pushed:>=2025-09-01 stars:>=80 archived:false fork:false size:<200000"
"ai_native","VeriTeknik/pluggedin-app","VeriTeknik","93","2026-03-03T20:08:21Z","https://github.com/VeriTeknik/pluggedin-app","topic:model-context-protocol pushed:>=2025-09-01 stars:>=80 archived:false fork:false size:<200000"
"ai_native","Haohao-end/LMForge-End-to-End-LLMOps-Platform-for-Multi-Model-Agents","Haohao-end","616","2026-03-03T20:07:53Z","https://github.com/Haohao-end/LMForge-End-to-End-LLMOps-Platform-for-Multi-Model-Agents","topic:llmops pushed:>=2025-09-01 stars:>=150 archived:false fork:false size:<200000"
"ai_native","PrefectHQ/fastmcp","PrefectHQ","23313","2026-03-03T20:00:27Z","https://github.com/PrefectHQ/fastmcp","topic:model-context-protocol pushed:>=2025-09-01 stars:>=80 archived:false fork:false size:<200000"
"ai_native","jeff-nasseri/mikrotik-mcp","jeff-nasseri","117","2026-03-03T19:46:51Z","https://github.com/jeff-nasseri/mikrotik-mcp","topic:model-context-protocol pushed:>=2025-09-01 stars:>=80 archived:false fork:false size:<200000"
"ai_native","truffle-ai/dexto","truffle-ai","587","2026-03-03T19:05:40Z","https://github.com/truffle-ai/dexto","topic:ai-agent pushed:>=2025-09-01 stars:>=250 archived:false fork:false size:<200000"
"ai_native","debba/tabularis","debba","434","2026-03-03T18:52:52Z","https://github.com/debba/tabularis","topic:ai-agent pushed:>=2025-09-01 stars:>=250 archived:false fork:false size:<200000"
"ai_native","can1357/oh-my-pi","can1357","1630","2026-03-03T18:43:30Z","https://github.com/can1357/oh-my-pi","topic:ai-agent pushed:>=2025-09-01 stars:>=250 archived:false fork:false size:<200000"
"ai_native","langfuse/langfuse","langfuse","22572","2026-03-03T18:34:48Z","https://github.com/langfuse/langfuse","topic:llmops pushed:>=2025-09-01 stars:>=150 archived:false fork:false size:<200000"
"ai_native","memodb-io/Acontext","memodb-io","3114","2026-03-03T18:32:00Z","https://github.com/memodb-io/Acontext","topic:ai-agent pushed:>=2025-09-01 stars:>=250 archived:false fork:false size:<200000"
"ai_native","SmythOS/sre","SmythOS","1233","2026-03-03T18:19:56Z","https://github.com/SmythOS/sre","topic:llmops pushed:>=2025-09-01 stars:>=150 archived:false fork:false size:<200000"
"ai_native","Giskard-AI/giskard-oss","Giskard-AI","5146","2026-03-03T18:16:29Z","https://github.com/Giskard-AI/giskard-oss","topic:llmops pushed:>=2025-09-01 stars:>=150 archived:false fork:false size:<200000"
"ai_native","Arize-ai/openinference","Arize-ai","871","2026-03-03T18:15:59Z","https://github.com/Arize-ai/openinference","topic:llmops pushed:>=2025-09-01 stars:>=150 archived:false fork:false size:<200000"
"ai_native","GoogleCloudPlatform/agent-starter-pack","GoogleCloudPlatform","5861","2026-03-03T18:02:17Z","https://github.com/GoogleCloudPlatform/agent-starter-pack","topic:llmops pushed:>=2025-09-01 stars:>=150 archived:false fork:false size:<200000"
"ai_native","groupultra/telegram-search","groupultra","3784","2026-03-03T17:59:41Z","https://github.com/groupultra/telegram-search","topic:ai-agent pushed:>=2025-09-01 stars:>=250 archived:false fork:false size:<200000"
"ai_native","minipuft/claude-prompts","minipuft","140","2026-03-03T17:50:14Z","https://github.com/minipuft/claude-prompts","topic:model-context-protocol pushed:>=2025-09-01 stars:>=80 archived:false fork:false size:<200000"
"ai_native","cbcoutinho/nextcloud-mcp-server","cbcoutinho","139","2026-03-03T17:22:19Z","https://github.com/cbcoutinho/nextcloud-mcp-server","topic:model-context-protocol pushed:>=2025-09-01 stars:>=80 archived:false fork:false size:<200000"
"ai_native","dbt-labs/dbt-mcp","dbt-labs","499","2026-03-03T17:19:33Z","https://github.com/dbt-labs/dbt-mcp","topic:model-context-protocol pushed:>=2025-09-01 stars:>=80 archived:false fork:false size:<200000"
"ai_native","smallcloudai/refact","smallcloudai","3509","2026-03-03T17:19:00Z","https://github.com/smallcloudai/refact","topic:ai-agent pushed:>=2025-09-01 stars:>=250 archived:false fork:false size:<200000"
"ai_native","DeusData/codebase-memory-mcp","DeusData","118","2026-03-03T17:11:31Z","https://github.com/DeusData/codebase-memory-mcp","topic:model-context-protocol pushed:>=2025-09-01 stars:>=80 archived:false fork:false size:<200000"
"ai_native","vakovalskii/ValeDesk","vakovalskii","301","2026-03-03T16:56:15Z","https://github.com/vakovalskii/ValeDesk","topic:ai-agent pushed:>=2025-09-01 stars:>=250 archived:false fork:false size:<200000"
"ai_native","vm0-ai/vm0","vm0-ai","1022","2026-03-03T16:53:43Z","https://github.com/vm0-ai/vm0","topic:ai-agent pushed:>=2025-09-01 stars:>=250 archived:false fork:false size:<200000"
"ai_native","seuros/action_mcp","seuros","93","2026-03-03T16:48:23Z","https://github.com/seuros/action_mcp","topic:model-context-protocol pushed:>=2025-09-01 stars:>=80 archived:false fork:false size:<200000"
"ai_native","e2b-dev/E2B","e2b-dev","11105","2026-03-03T16:47:26Z","https://github.com/e2b-dev/E2B","topic:ai-agent pushed:>=2025-09-01 stars:>=250 archived:false fork:false size:<200000"
"ai_native","hyprmcp/jetski","hyprmcp","208","2026-03-03T16:45:52Z","https://github.com/hyprmcp/jetski","topic:model-context-protocol pushed:>=2025-09-01 stars:>=80 archived:false fork:false size:<200000"
"ai_native","rhesis-ai/rhesis","rhesis-ai","287","2026-03-03T16:40:28Z","https://github.com/rhesis-ai/rhesis","topic:llmops pushed:>=2025-09-01 stars:>=150 archived:false fork:false size:<200000"
"ai_native","keboola/mcp-server","keboola","82","2026-03-03T16:35:29Z","https://github.com/keboola/mcp-server","topic:model-context-protocol pushed:>=2025-09-01 stars:>=80 archived:false fork:false size:<200000"
"ai_native","nextlevelbuilder/goclaw","nextlevelbuilder","426","2026-03-03T16:31:47Z","https://github.com/nextlevelbuilder/goclaw","topic:ai-agent pushed:>=2025-09-01 stars:>=250 archived:false fork:false size:<200000"
"ai_native","taylorwilsdon/google_workspace_mcp","taylorwilsdon","1644","2026-03-03T16:28:08Z","https://github.com/taylorwilsdon/google_workspace_mcp","topic:model-context-protocol pushed:>=2025-09-01 stars:>=80 archived:false fork:false size:<200000"
"ai_native","saigontechnology/AgentCrew","saigontechnology","155","2026-03-03T16:28:04Z","https://github.com/saigontechnology/AgentCrew","topic:model-context-protocol pushed:>=2025-09-01 stars:>=80 archived:false fork:false size:<200000"
"ai_native","makeplane/plane-mcp-server","makeplane","163","2026-03-03T16:26:43Z","https://github.com/makeplane/plane-mcp-server","topic:model-context-protocol pushed:>=2025-09-01 stars:>=80 archived:false fork:false size:<200000"
"ai_native","openlit/openlit","openlit","2255","2026-03-03T16:09:55Z","https://github.com/openlit/openlit","topic:llmops pushed:>=2025-09-01 stars:>=150 archived:false fork:false size:<200000"
"ai_native","bosun-ai/swiftide","bosun-ai","672","2026-03-03T16:07:47Z","https://github.com/bosun-ai/swiftide","topic:llmops pushed:>=2025-09-01 stars:>=150 archived:false fork:false size:<200000"
"ai_native","yigitkonur/cli-continues","yigitkonur","885","2026-03-03T16:04:55Z","https://github.com/yigitkonur/cli-continues","topic:ai-coding-assistant pushed:>=2025-09-01 stars:>=100 archived:false fork:false size:<200000"
"ai_native","dynamiq-ai/dynamiq","dynamiq-ai","1031","2026-03-03T16:01:36Z","https://github.com/dynamiq-ai/dynamiq","topic:llmops pushed:>=2025-09-01 stars:>=150 archived:false fork:false size:<200000"
"dev_platform","gruntwork-io/terragrunt","gruntwork-io","9356","2026-03-03T21:19:31Z","https://github.com/gruntwork-io/terragrunt","topic:devops pushed:>=2025-09-01 stars:>=7000 -topic:ai -topic:llm -topic:machine-learning archived:false fork:false size:<200000"
"dev_platform","Dokploy/dokploy","Dokploy","31233","2026-03-03T21:13:45Z","https://github.com/Dokploy/dokploy","topic:devops pushed:>=2025-09-01 stars:>=7000 -topic:ai -topic:llm -topic:machine-learning archived:false fork:false size:<200000"
"dev_platform","kubescape/kubescape","kubescape","11218","2026-03-03T20:46:37Z","https://github.com/kubescape/kubescape","topic:devops pushed:>=2025-09-01 stars:>=7000 -topic:ai -topic:llm -topic:machine-learning archived:false fork:false size:<200000"
"dev_platform","zeromicro/go-zero","zeromicro","32741","2026-03-03T20:38:31Z","https://github.com/zeromicro/go-zero","topic:cloud-native pushed:>=2025-09-01 stars:>=7000 -topic:ai -topic:llm archived:false fork:false size:<200000"
"dev_platform","GoogleContainerTools/skaffold","GoogleContainerTools","15763","2026-03-03T20:35:02Z","https://github.com/GoogleContainerTools/skaffold","topic:developer-tools pushed:>=2025-09-01 stars:>=7000 -topic:ai -topic:llm archived:false fork:false size:<200000"
"dev_platform","wavetermdev/waveterm","wavetermdev","17617","2026-03-03T20:27:15Z","https://github.com/wavetermdev/waveterm","topic:developer-tools pushed:>=2025-09-01 stars:>=7000 -topic:ai -topic:llm archived:false fork:false size:<200000"
"dev_platform","kubeshark/kubeshark","kubeshark","11806","2026-03-03T20:00:32Z","https://github.com/kubeshark/kubeshark","topic:devops pushed:>=2025-09-01 stars:>=7000 -topic:ai -topic:llm -topic:machine-learning archived:false fork:false size:<200000"
"dev_platform","quickwit-oss/quickwit","quickwit-oss","10932","2026-03-03T19:59:48Z","https://github.com/quickwit-oss/quickwit","topic:cloud-native pushed:>=2025-09-01 stars:>=7000 -topic:ai -topic:llm archived:false fork:false size:<200000"
"dev_platform","moby/buildkit","moby","9804","2026-03-03T19:58:29Z","https://github.com/moby/buildkit","topic:cloud-native pushed:>=2025-09-01 stars:>=7000 -topic:ai -topic:llm archived:false fork:false size:<200000"
"dev_platform","surrealdb/surrealdb","surrealdb","31429","2026-03-03T19:10:16Z","https://github.com/surrealdb/surrealdb","topic:developer-tools pushed:>=2025-09-01 stars:>=7000 -topic:ai -topic:llm archived:false fork:false size:<200000"
"dev_platform","cloudnative-pg/cloudnative-pg","cloudnative-pg","8132","2026-03-03T18:29:15Z","https://github.com/cloudnative-pg/cloudnative-pg","topic:devops pushed:>=2025-09-01 stars:>=7000 -topic:ai -topic:llm -topic:machine-learning archived:false fork:false size:<200000"
"dev_platform","jenkinsci/jenkins","jenkinsci","25063","2026-03-03T18:14:28Z","https://github.com/jenkinsci/jenkins","topic:devops pushed:>=2025-09-01 stars:>=7000 -topic:ai -topic:llm -topic:machine-learning archived:false fork:false size:<200000"
"dev_platform","kestra-io/kestra","kestra-io","26457","2026-03-03T17:59:27Z","https://github.com/kestra-io/kestra","topic:devops pushed:>=2025-09-01 stars:>=7000 -topic:ai -topic:llm -topic:machine-learning archived:false fork:false size:<200000"
"dev_platform","localstack/localstack","localstack","64539","2026-03-03T17:53:20Z","https://github.com/localstack/localstack","topic:developer-tools pushed:>=2025-09-01 stars:>=7000 -topic:ai -topic:llm archived:false fork:false size:<200000"
